timestamp,date,shift,machine,part_id,cycle_time_s,oven_temp_c,vibration_mm_s,result,reject_reason
2020-06-01 06:00:00,2020-06-01,Day,Press_A,P00001,30.1,207.6,2.32,Pass,
2020-06-01 06:00:33.015450,2020-06-01,Day,Press_A,P00002,28.9,203.3,1.62,Pass,
2020-06-01 06:01:02.262951,2020-06-01,Day,Press_A,P00003,25.6,200.9,2.4,Pass,
2020-06-01 06:01:29.528972,2020-06-01,Day,Press_A,P00004,30.8,196.4,1.77,Pass,
2020-06-01 06:02:03.324196,2020-06-01,Day,Press_A,P00005,29.6,203.4,2.27,Pass,
2020-06-01 06:02:33.369053,2020-06-01,Day,Press_A,P00006,31.9,204.1,1.79,Pass,
2020-06-01 06:03:06.364813,2020-06-01,Day,Press_A,P00007,34.8,206.4,2.09,Pass,
2020-06-01 06:03:42.337921,2020-06-01,Day,Press_A,P00008,25.5,209.6,1.57,Pass,
2020-06-01 06:04:08.591273,2020-06-01,Day,Press_A,P00009,31.3,208.0,2.19,Pass,
2020-06-01 06:04:43.315229,2020-06-01,Day,Press_A,P00010,32.3,182.8,1.76,Pass,
2020-06-01 06:05:16.221182,2020-06-01,Day,Press_A,P00011,28.6,194.5,2.35,Pass,
2020-06-01 06:05:47.404390,2020-06-01,Day,Press_A,P00012,29.5,191.3,1.78,Pass,
2020-06-01 06:06:18.005627,2020-06-01,Day,Press_A,P00013,30.5,208.2,1.79,Pass,
2020-06-01 06:06:48.733417,2020-06-01,Day,Press_A,P00014,25.1,205.2,2.24,Pass,
2020-06-01 06:07:14.116026,2020-06-01,Day,Press_A,P00015,29.6,206.6,1.8,Pass,
2020-06-01 06:07:47.239395,2020-06-01,Day,Press_A,P00016,28.7,195.9,1.9,Pass,
2020-06-01 06:08:18.916981,2020-06-01,Day,Press_A,P00017,26.4,190.3,1.88,Pass,
2020-06-01 06:08:49.330229,2020-06-01,Day,Press_A,P00018,32.7,203.5,2.23,Pass,
2020-06-01 06:09:25.447328,2020-06-01,Day,Press_A,P00019,28.3,202.0,2.15,Pass,
2020-06-01 06:09:56.121231,2020-06-01,Day,Press_A,P00020,30.5,192.7,1.78,Pass,
2020-06-01 06:10:30.346198,2020-06-01,Day,Press_A,P00021,33.7,198.7,1.87,Pass,
2020-06-01 06:11:05.454301,2020-06-01,Day,Press_A,P00022,31.7,193.4,1.95,Fail,Dimensional
2020-06-01 06:11:40.037702,2020-06-01,Day,Press_A,P00023,30.3,197.0,1.21,Pass,
2020-06-01 06:12:12.807084,2020-06-01,Day,Press_A,P00024,27.0,192.9,2.19,Pass,
2020-06-01 06:12:41.307573,2020-06-01,Day,Press_A,P00025,35.9,207.8,2.63,Pass,
2020-06-01 06:13:19.197553,2020-06-01,Day,Press_A,P00026,31.8,193.7,2.22,Pass,
2020-06-01 06:13:54.266354,2020-06-01,Day,Press_A,P00027,28.9,200.3,2.22,Pass,
2020-06-01 06:14:26.422515,2020-06-01,Day,Press_A,P00028,29.5,199.0,2.37,Pass,
2020-06-01 06:14:58.551256,2020-06-01,Day,Press_A,P00029,26.0,203.4,1.94,Pass,
2020-06-01 06:15:28.230844,2020-06-01,Day,Press_A,P00030,25.4,198.6,2.02,Pass,
2020-06-01 06:15:55.238725,2020-06-01,Day,Press_A,P00031,32.7,197.3,1.74,Pass,
2020-06-01 06:16:28.150038,2020-06-01,Day,Press_A,P00032,30.5,196.1,2.38,Pass,
2020-06-01 06:16:58.681127,2020-06-01,Day,Press_A,P00033,30.7,199.5,1.9,Pass,
2020-06-01 06:17:31.428755,2020-06-01,Day,Press_A,P00034,33.4,200.6,1.94,Pass,
2020-06-01 06:18:07.725146,2020-06-01,Day,Press_A,P00035,30.1,205.8,1.74,Pass,
2020-06-01 06:18:38.251799,2020-06-01,Day,Press_A,P00036,27.6,206.8,1.85,Pass,
2020-06-01 06:19:09.347641,2020-06-01,Day,Press_A,P00037,29.4,208.2,2.15,Pass,
2020-06-01 06:19:41.906014,2020-06-01,Day,Press_A,P00038,31.2,198.3,2.15,Pass,
2020-06-01 06:20:13.707000,2020-06-01,Day,Press_A,P00039,30.8,202.7,2.31,Pass,
2020-06-01 06:20:47.968031,2020-06-01,Day,Press_A,P00040,32.5,198.3,2.36,Pass,
2020-06-01 06:21:20.543095,2020-06-01,Day,Press_A,P00041,30.3,208.4,2.28,Pass,
2020-06-01 06:21:54.263597,2020-06-01,Day,Press_A,P00042,29.0,206.1,2.15,Fail,Overheat
2020-06-01 06:22:24.790065,2020-06-01,Day,Press_A,P00043,29.0,209.4,1.77,Pass,
2020-06-01 06:22:56.905692,2020-06-01,Day,Press_A,P00044,27.1,209.0,1.82,Pass,
2020-06-01 06:23:24.829655,2020-06-01,Day,Press_A,P00045,32.4,209.1,2.18,Fail,Overheat
2020-06-01 06:23:59.150820,2020-06-01,Day,Press_A,P00046,28.2,201.9,2.32,Pass,
